Kod,Namn
A,Asia express - Roasted peanuts in shell
B,OLW - Torrostade jordnötter
C,ICA Basic - jordnötter
D,OLW - Klassiska salta jordnötter
E,"Rostade, saltade jordnötter från Fram Järntorget"
F,Hemrostade - lättrostade
G,Hemrostade - medelrostade
H,Eldorado - Rostade & saltade jordnötter
I,Favorit - Jumbo jordnötter
J,ICA - Jordnötter rostade och saltade 
K,Garant - Extra stora jordnötter
L,Estrella - Rostade jordnötter utan salt
M,Smiling - Ekologiska jordnötter - torrostade och havssaltade
N,Garant - Torrostade jordnötter
O,OLW - Virginia traditional - large peanuts
P,Saigon - Jumbo jordnötter 
Q,Exotic snacks - Salta jordnötter
R,ICA - Torrostade jordnötter
S,Estrella - Salta jordnötter
T,Sainsbury's - Sea salt & cider vinegar jumbo peanuts